date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:41	123/123	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2028%20Mar%202023%2012:40:42%20GMT	https://Atelis.com/robots.txt		(from )
13:40:41	55752/55752	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Mar%202023%2012:40:42%20GMT	https://Atelis.com/	C:/My%20Web%20Sites/Atelis/Atelis.com/index.html	(from )
13:40:42	94889/94889	---M--	200	added ('OK')	text/css	etag:%226374218b-172a9%22	https://Atelis.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/Atelis/Atelis.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://Atelis.com/)
13:40:42	217/217	---M--	200	added ('OK')	text/css	etag:%226362550e-d9%22	https://Atelis.com/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/Atelis/Atelis.com/wp-includes/css/classic-themes.min68b3.css	(from https://Atelis.com/)
13:40:43	1369/1369	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd5-559%22	http://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min.css?ver=6.1.1	C:/My%20Web%20Sites/Atelis/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick.min6a4d.css	(from https://Atelis.com/)
13:40:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Mar%202023%2012:40:45%20GMT	http://cdn.jsdelivr.net/jquery.slick/1.5.0/slick-theme.css?ver=6.1.1	C:/My%20Web%20Sites/Atelis/cdn.jsdelivr.net/jquery.slick/1.5.0/slick-theme.36a4d.delayed	(from https://Atelis.com/)
13:40:44	3023/3023	---M-Z	200	added ('OK')	text/css	etag:W/%22bcf-QQO0fEqql9Fm2x2ag7nurVU62ZQ%22	https://cdn.jsdelivr.net/jquery.slick/1.5.0/slick-theme.css?ver=6.1.1	C:/My%20Web%20Sites/Atelis/cdn.jsdelivr.net/jquery.slick/1.5.0/slick-theme6a4d.css	(from https://Atelis.com/)
13:40:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2028%20Mar%202023%2012:40:46%20GMT	http://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min.css?ver=6.1.1	C:/My%20Web%20Sites/Atelis/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min6a4d.css	(from https://Atelis.com/)
13:40:46	11184/11184	---M-Z	200	added ('OK')	text/css	etag:%225efa1cee-2bb0%22	http://cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.13.18/css/bootstrap-select.min.css?ver=6.1.1	C:/My%20Web%20Sites/Atelis/cdnjs.cloudflare.com/ajax/libs/bootstrap-select/1.13.18/css/bootstrap-select.min6a4d.css	(from https://Atelis.com/)
13:40:46	153111/153111	---M-Z	200	added ('OK')	text/css	etag:W/%2225617-q3SIoVyTmtfFSq15BDC3uaLXfq4%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min.css?ver=6.1.1	C:/My%20Web%20Sites/Atelis/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta1/dist/css/bootstrap.min6a4d.css	(from https://Atelis.com/)
